Model,CV F1,CV F1 std,Accuracy,Precision,Recall,F1,Specificity,ROC-AUC,PR-AUC,MCC
Logistic Regression,0.7952,0.0026,0.7319,0.134,0.82,0.2303,0.7274,0.8397,0.2746,0.2578
Decision Tree,0.8931,0.0116,0.9237,0.15,0.12,0.1333,0.965,0.7129,0.107,0.0946
Random Forest,0.9632,0.0036,0.9481,0.4118,0.14,0.209,0.9897,0.7762,0.2112,0.2188
XGBoost,0.9681,0.0012,0.954,0.7143,0.1,0.1754,0.9979,0.7905,0.2307,0.2562
LightGBM,0.971,0.0029,0.9452,0.25,0.06,0.0968,0.9907,0.7903,0.1848,0.1016
